# BulTreeBank Wordnet (BTB-WN)	bul	http://www.bultreebank.org/	CC BY 3.0
00871405-v	bul:lemma	заплаша
00871405-v	bul:lemma	заплашвам
00872107-n	bul:def	0	Аритметично действие, при което по дадени числа се намира ново, съдържащо толкова единици, колкото във всички събираеми.
00872107-n	bul:lemma	събиране
00874067-n	bul:def	0	Дейността по преценка за достойнствата и недостътъците, качествата, характера на някого или нещо.
00874067-n	bul:exe	0	Искат ми оценка за работата ти.
00874067-n	bul:exe	1	давам висока оценка
00874067-n	bul:exe	2	давам положителна оценка
00874067-n	bul:exe	3	писмена оценка
00874067-n	bul:exe	4	политическа оценка на момента
00874067-n	bul:exe	5	правилна оценка
00874067-n	bul:exe	6	правя оценка на ситуацията
00874067-n	bul:exe	7	реална оценка
00874067-n	bul:exe	8	точна оценка
00874067-n	bul:lemma	оценка
00875394-v	bul:def	0	Казвам, излагам нещо, някакво желание или идея, възможност за действие, за извършване на нещо, което подлежи на обсъждане, одобрение или отхвърляне.
00875394-v	bul:exe	0	Предлагам да отидем на разходка.
00875394-v	bul:exe	1	Предлагам да се гласува.
00875394-v	bul:exe	2	предлагам да тръгваме
00875394-v	bul:exe	3	предлагам женитба
00875394-v	bul:exe	4	предлагам помощ
00875394-v	bul:exe	5	предлагам услугите си
00875394-v	bul:lemma	предлагам
00875394-v	bul:lemma	предложа
00877625-n	bul:def	0	Насоченост, устременост на зрението, еднократно или краткотрайно, към някого, върху някого, върху нещо или нанякъде.
00877625-n	bul:exe	0	Вперил поглед в книгата.
00877625-n	bul:exe	1	Погледът |и го развълнува.
00877625-n	bul:exe	10	устремявам поглед
00877625-n	bul:exe	2	Срещнах неговия поглед.
00877625-n	bul:exe	3	Хвърли един бегъл поглед на вестника.
00877625-n	bul:exe	4	бърз поглед
00877625-n	bul:exe	5	вдигам поглед
00877625-n	bul:exe	6	извръщам погледа си към
00877625-n	bul:exe	7	насочвам погледа си към
00877625-n	bul:exe	8	отмествам погледа си
00877625-n	bul:exe	9	свеждам поглед
00877625-n	bul:lemma	поглед
00877848-v	bul:def	0	Казвам на някого нещо, за да му помогна да си спомни или за да му припомня нещо, което е забравил.
00877848-v	bul:exe	0	Той ме подсети, че задачата може да се реши така.
00877848-v	bul:lemma	подсетя
00877848-v	bul:lemma	подсещам
00877848-v	bul:lemma	подскажа
00877848-v	bul:lemma	подсказвам
00877848-v	bul:lemma	припомня
00877848-v	bul:lemma	припомням
00878648-n	bul:def	0	Насочено зрение, дълго фиксирано гледане, поглеждане.
00878648-n	bul:exe	0	Забивам поглед в земята.
00878648-n	bul:exe	1	Погледът му е насочен към прозореца.
00878648-n	bul:exe	2	впервам поглед в
00878648-n	bul:exe	3	втренчен поглед
00878648-n	bul:exe	4	насочвам поглед върху
00878648-n	bul:exe	5	приковавам поглед върху
00878648-n	bul:lemma	взиране
00878648-n	bul:lemma	взор
00878648-n	bul:lemma	поглед
00879540-v	bul:def	0	Издигам кандидатура за някаква награда.
00879540-v	bul:lemma	номинирам
00879540-v	bul:lemma	предлагам
00879540-v	bul:lemma	предложа
00881998-v	bul:def	0	Изказвам поздравление, изразявам радостта си или почитта си към някого по случай някакво приятно събитие, празник или постигнат успех.
00881998-v	bul:lemma	поздравя
00881998-v	bul:lemma	поздравявам
00881998-v	bul:lemma	честитя
00882948-v	bul:def	0	Представям нещо като хубаво, добро, подходящо.
00882948-v	bul:exe	0	Препоръчаха ми тази книга.
00882948-v	bul:lemma	препоръчам
00882948-v	bul:lemma	препоръчвам
00883226-v	bul:def	0	Говоря добро за себе си или за нещо свое, изтъквам качествата, достойнствата, заслугите си с гордост пред други.
00883226-v	bul:lemma	похвалвам се
00883226-v	bul:lemma	похваля се
00883226-v	bul:lemma	хваля се
00883297-n	bul:def	0	Придобиване, усвояване на определени знания и умения.
00883297-n	bul:exe	0	Министерство на образованието.
00883297-n	bul:exe	1	Министърът изложи новите си идеи за образованието.
00883297-n	bul:exe	2	получавам добро образование
00883297-n	bul:exe	3	право на образование
00883297-n	bul:lemma	образование
00883297-n	bul:lemma	обучение
00884466-n	bul:def	0	Пълен цикъл, поредица от уроци (теоретични и парктически) за определено време, който представлява относително завършена и самостоятелна част от някакво обучение.
00884466-n	bul:exe	0	Курсът продължи три месеца.
00884466-n	bul:exe	1	Ходя на курсове по английски.
00884466-n	bul:exe	2	завърших първия курс
00884466-n	bul:exe	3	започвам курс
00884466-n	bul:exe	4	курс по
00884466-n	bul:exe	5	курс по математика
00884466-n	bul:exe	6	курс по рисуване
00884466-n	bul:lemma	курс
00884540-v	bul:def	0	Давам тържествено и официално обещание пред някого, че ще извърша, изпълня нещо.
00884540-v	bul:lemma	давам обет
00884540-v	bul:lemma	обещавам
00885695-a	bul:def	0	Който показва голямо вълнение и заинтересованост към нещо.
00885695-a	bul:lemma	ентусиазиран
00887081-n	bul:def	0	Системно преподаване, дейност за усвояване на определени знания и умения от някого.
00887081-n	bul:exe	0	обучение по история
00887081-n	bul:lemma	обучение
00887142-v	bul:def	0	Чрез надпис в началото на някакво произведение показвам уважението си към някого.
00887142-v	bul:lemma	посветя
00887142-v	bul:lemma	посвещавам
00887463-v	bul:def	0	Давам напълно, изцяло всичко от себе си (сили, възможности, време) на някого или нещо.
00887463-v	bul:exe	0	отдавам живота си на
00887463-v	bul:lemma	отдавам
00887463-v	bul:lemma	отдам
00887463-v	bul:lemma	посветя
00887463-v	bul:lemma	посвещавам
00888765-a	bul:def	0	Който завижда на успехите на другите, болезнено желаейки да бъде над тях.
00888765-a	bul:lemma	завистлив
00888765-a	bul:lemma	ревнив
00889472-n	bul:def	0	Отделна учебна единица, обикновено нагодена за преподаване и възприемане в един час.
00889472-n	bul:exe	0	вземам уроци
00889472-n	bul:exe	1	интересен урок
00889472-n	bul:exe	2	нов урок
00889472-n	bul:exe	3	предавам урок
00889472-n	bul:exe	4	скучен урок
00889472-n	bul:exe	5	урок по
00889472-n	bul:lemma	урок
00890590-v	bul:def	0	Правя нещо да бъде напълно възможно, правя сигурно съществуването, осъществяването на нещо.
00890590-v	bul:exe	0	Държавата осигурява живота и спокойствието на всички.
00890590-v	bul:lemma	гарантирам
00890590-v	bul:lemma	осигуря
00890590-v	bul:lemma	осигурявам
00892145-n	bul:def	0	Форма на обучение за малка група, обикновено от напреднали ученици, провеждана в университет под ръководството на преподавател.
00892145-n	bul:exe	0	Ще участвам в семинара.
00892145-n	bul:exe	1	научен семинар
00892145-n	bul:exe	2	организирам семинар
00892145-n	bul:exe	3	отивам на семинар
00892145-n	bul:exe	4	педагогически семинар
00892145-n	bul:exe	5	практически семинар
00892145-n	bul:lemma	семинар
00892315-v	bul:def	0	Изразявам или показвам благодарност, признателност, благодарен съм.
00892315-v	bul:exe	0	Благодаря от сърце.
00892315-v	bul:exe	1	Много ти благодаря!
00892315-v	bul:exe	2	Трябва да ми благодариш, че ти помогнах.
00892315-v	bul:exe	3	благодаря за
00892315-v	bul:exe	4	благодаря на
00892315-v	bul:lemma	благодаря
00892413-n	bul:def	0	Съвещание за обсъждане на някакъв специален, обикновено научен въпрос.
00892413-n	bul:exe	0	международен симпозиум
00892413-n	bul:exe	1	отивам на симпозиум
00892413-n	bul:exe	2	симпозиум за
00892413-n	bul:exe	3	симпозиум по
00892413-n	bul:lemma	симпозиум
00892861-n	bul:def	0	Учебен час във висше или средно училище.
00892861-n	bul:exe	0	Днес имам лекции от обяд.
00892861-n	bul:exe	1	изнасям лекции по
00892861-n	bul:exe	2	отивам на лекции
00892861-n	bul:exe	3	слушам лекция
00892861-n	bul:exe	4	чета лекции по
00892861-n	bul:lemma	лекция
00892923-v	bul:def	0	Искам извинение за допуснати грешки.
00892923-v	bul:lemma	извинявам се
00892923-v	bul:lemma	моля за извинение
00893441-a	bul:def	0	Който се отличава с равновесие, който е в точно, правилно съотношение и съгласуваност между отделните части.
00893441-a	bul:lemma	балансиран
00893441-a	bul:lemma	уравновесен
00893955-n	bul:def	0	Предварително извършени действия, усилия, работа, за да бъде нещо или някой готов, да има определени качества, необходими за осъществяване на нещо.
00893955-n	bul:exe	0	Огневата подготовка за атаката беше ефикасна.
00893955-n	bul:exe	1	без предварителна подготовка
00893955-n	bul:exe	10	пълна подготовка
00893955-n	bul:exe	11	строева подготовка
00893955-n	bul:exe	2	имам слаба подготовка
00893955-n	bul:exe	3	имама добра подготовка
00893955-n	bul:exe	4	нямам никаква подготовка
00893955-n	bul:exe	5	подготовка за изпит
00893955-n	bul:exe	6	подготовка на семената за сеитба
00893955-n	bul:exe	7	подготовката е започнала
00893955-n	bul:exe	8	празнична подготовка
00893955-n	bul:exe	9	проверявам как върви подготовката
00893955-n	bul:lemma	подготовка
00894359-n	bul:def	0	(военно) Подготовка на войниците по отношение на маршируване и боравене с оръжие.
00894359-n	bul:exe	0	задължителна строева подготовка
00894359-n	bul:exe	1	правя строева подготовка
00894359-n	bul:lemma	строева подготовка
00894552-n	bul:def	0	Системно физическо обучение, състоящо се от множество повторения.
00894552-n	bul:exe	0	Днес тренировката беше кратка.
00894552-n	bul:exe	1	Пропуснах една тренировка.
00894552-n	bul:exe	2	гимнастически упражнения
00894552-n	bul:exe	3	отивам на тренировка
00894552-n	bul:exe	4	правя упражнения
00894552-n	bul:exe	5	силови упражнения
00894552-n	bul:exe	6	физически упражнения
00894552-n	bul:lemma	тренировка
00894552-n	bul:lemma	упражнение
00894738-v	bul:def	0	Разкривам основания за свое оправдание.
00894738-v	bul:lemma	обясня
00894738-v	bul:lemma	обяснявам
00894738-v	bul:lemma	оправдавам
00894738-v	bul:lemma	оправдая
00895442-a	bul:def	0	Който има повече от един смисъл, може да се разбира или тълкува по два или повече начини, поради което е недостатъчно определен, ясен.
00895442-a	bul:lemma	двузначен
00895442-a	bul:lemma	двусмислен
00895442-a	bul:lemma	многозначен
00897026-n	bul:def	0	Предварително, пробно изпълнение на театрална пиеса, концерт и др. за разучаване и усъвършенстване.
00897026-n	bul:exe	0	Днес няма да има репетиция.
00897026-n	bul:exe	1	Репетицията беше отложена за другия ден.
00897026-n	bul:exe	10	след репетиция
00897026-n	bul:exe	11	театрална репетиция
00897026-n	bul:exe	2	Той пропусна няколко репетиции.
00897026-n	bul:exe	3	генерална репетиция
00897026-n	bul:exe	4	музикална репетиция
00897026-n	bul:exe	5	отивам на репетиция
00897026-n	bul:exe	6	по време на репетицията
00897026-n	bul:exe	7	последна репетиция
00897026-n	bul:exe	8	преди репетиция
00897026-n	bul:exe	9	първа репетиция
00897026-n	bul:lemma	репетиция
00897125-v	bul:def	0	Изпращам поздрав, пожелавам на някого здраве, щастие, успех.
00897125-v	bul:exe	0	Поздрави чичо си от мене.
00897125-v	bul:exe	1	Сърдечно ви поздравявам.
00897125-v	bul:lemma	поздравя
00897125-v	bul:lemma	поздравявам
00897811-n	bul:def	0	Преглеждане, препрочитане и повтаряне на нещо учено, заучено, за да се запомни, затвърди.
00897811-n	bul:exe	0	Правя преговор на всички въпроси от конспекта.
00897811-n	bul:exe	1	Правя преговор на учебния материал.
00897811-n	bul:exe	2	Правя преговор по история.
00897811-n	bul:exe	3	Часът започна с преговор на стария материал.
00897811-n	bul:exe	4	начален преговор
00897811-n	bul:lemma	преговор
00898210-v	bul:def	0	Повдигам и спускам главата си като знак, че съм съгласен или не с нещо.
00898210-v	bul:exe	0	Какво кимаш?
00898210-v	bul:exe	1	Той ми кимна с глава и се усмихна.
00898210-v	bul:exe	2	Учителят кимна, когато ученикът даде правилния отговор.
00898210-v	bul:lemma	кимам
00900616-a	bul:def	0	Който е най-важен за нещо или някого, който съставя същината на нещо и без който то не може да бъде.
00900616-a	bul:lemma	основен
00900616-a	bul:lemma	съществен
00901103-v	bul:def	0	Показвам, посочвам и казвам името на някого пред други, за да могат да го познават лично.
00901103-v	bul:exe	0	Запознавам жена си с мои приятели.
00901103-v	bul:exe	1	Искам да ви запозная с
00901103-v	bul:exe	2	Нека те запозная с родителите си.
00901103-v	bul:exe	3	Позволете ми да ви запозная с моя син.
00901103-v	bul:lemma	запознавам
00901103-v	bul:lemma	запозная
00901103-v	bul:lemma	представя
00901103-v	bul:lemma	представям
00903559-n	bul:def	0	Получаване, създаване на траен образ на предметите върху светлочувствителни материали с помощта на специални апарати и химическа обработка.
00903559-n	bul:exe	0	занимавам се с фотография
00903559-n	bul:lemma	фотография
00903894-a	bul:def	0	Който е крайно необходим, нужен.
00903894-a	bul:lemma	критичен
00903894-a	bul:lemma	критически
00903894-a	bul:lemma	съдбоносен
00904046-v	bul:def	0	Освобождавам някого от вина, признавам някого за невинен.
00904046-v	bul:exe	0	Съдът го оневини.
00904046-v	bul:lemma	оневиня
00904046-v	bul:lemma	оневинявам
00904046-v	bul:lemma	оправдавам
00904046-v	bul:lemma	оправдая
00904745-a	bul:def	0	Който е достоен за презерение, поради подлото, лошото си отношение към другите.
00904745-a	bul:lemma	жалък
00904745-a	bul:lemma	мизерен
00904745-a	bul:lemma	окаян
00905386-a	bul:def	0	Който е в съответствие с приетите норми, с духовните ценности за социално или професионално поведение.
00905386-a	bul:lemma	етичен
00905386-a	bul:lemma	морален
00905386-a	bul:lemma	нравствен
00905852-v	bul:def	0	Преставам да се сърдя на някого за някаква постъпка, освобождавам го от вина.
00905852-v	bul:lemma	извиня
00905852-v	bul:lemma	извинявам
00905852-v	bul:lemma	оправдавам
00905852-v	bul:lemma	оправдая
00905852-v	bul:lemma	простя
00905852-v	bul:lemma	прощавам
00906367-v	bul:def	0	Признавам някого за виновен и му определям и налагам наказание.
00906367-v	bul:lemma	осъдя
00906367-v	bul:lemma	осъждам
00907147-v	bul:def	0	Изказвам мъките или недоволството, негодуванието си от някого или от нещо.
00907147-v	bul:exe	0	Майка й непрекъснато се оплакваше.
00907147-v	bul:exe	1	Тя се оплаква от свекърва си.
00907147-v	bul:lemma	жаля се
00907147-v	bul:lemma	оплаквам се
00907147-v	bul:lemma	оплача се
00908099-v	bul:def	0	Опитвам се да се противопоставя на нещо или някого с превантивна цел.
00908099-v	bul:lemma	прекратя
00908099-v	bul:lemma	прекратявам
00908099-v	bul:lemma	спирам
00908099-v	bul:lemma	спра
00908351-v	bul:def	0	Помагам развитието на някого или нещо.
00908351-v	bul:lemma	насърча
00908351-v	bul:lemma	насърчавам
00908351-v	bul:lemma	подпомагам
00908351-v	bul:lemma	подпомогна
00908351-v	bul:lemma	поощря
00908351-v	bul:lemma	поощрявам
00908492-n	bul:def	0	Действието по изграждане или изработване на нещо.
00908492-n	bul:lemma	създаване
00908492-n	bul:lemma	сътворяване
00909545-a	bul:def	0	Който е с еднакви размери, сила, стойност и др.
00909545-a	bul:lemma	равен
00909545-a	bul:lemma	равномерен
00912001-n	bul:def	0	Сглобяване, свързване на отделни елементи или части на машини, инсталации и под., за да бъдат готови за работа, експлоатация.
00912001-n	bul:exe	0	Машините чакат монтаж.
00912001-n	bul:exe	1	Ръководя монтажа на новия завод.
00912001-n	bul:exe	2	монтаж на инсталации
00912001-n	bul:exe	3	помагам в монтажа на
00912001-n	bul:exe	4	ръководител монтаж на
00912001-n	bul:lemma	монтаж
00912473-v	bul:def	0	Издавам, надавам викове, говоря високо, силно.
00912473-v	bul:exe	0	Викам колкото ми глас държи.
00912473-v	bul:exe	1	Децата викаха на двора.
00912473-v	bul:exe	10	викам със всички сили
00912473-v	bul:exe	2	Не викай, говори по-тихо!
00912473-v	bul:exe	3	Стига си викал.
00912473-v	bul:exe	4	викам до бога
00912473-v	bul:exe	5	викам за помощ
00912473-v	bul:exe	6	викам като луд
00912473-v	bul:exe	7	викам колкото сили имам
00912473-v	bul:exe	8	викам от болка
00912473-v	bul:exe	9	викам с цяло гърло
00912473-v	bul:lemma	викам
00912473-v	bul:lemma	викна
00912833-v	bul:def	0	Говоря ня висок глас.
00912833-v	bul:lemma	викам
00912833-v	bul:lemma	крещя
00912960-n	bul:def	0	Действието или процесът по създаването на нещо.
00912960-n	bul:lemma	продукция
00912960-n	bul:lemma	произвеждане
00913065-v	bul:def	0	Издавам силен глас.
00913065-v	bul:exe	0	Викам за помощ.
00913065-v	bul:exe	1	Извиках й през прозореца, но тя не ме чу.
00913065-v	bul:exe	2	Изкрещях от болка.
00913065-v	bul:lemma	викам
00913065-v	bul:lemma	извикам
00913065-v	bul:lemma	изкрещя
00913065-v	bul:lemma	кресна
00913065-v	bul:lemma	крещя
00913387-a	bul:def	0	Който се дели на две без остатък.
00913387-a	bul:lemma	четен
00913454-a	bul:def	0	За число - който не се дели на две без остатък.
00913454-a	bul:lemma	нечетен
00914421-a	bul:def	0	Който напълно съответства на действителността, на истината или съвпада с определени факти, цели и под.
00914421-a	bul:lemma	точен
00915830-v	bul:def	0	Говоря шепнешком, тихо.
00915830-v	bul:exe	0	шепна на ухо
00915830-v	bul:lemma	шепна
00915830-v	bul:lemma	шептя
00916274-v	bul:def	0	Заканвам се, настройвам се враждебно, ежа се, ръмжа срещу някого.
00916274-v	bul:lemma	зъбя се
00916464-n	bul:def	0	Обработване на земята с цел култивирането й за отглеждане на растения.
00916464-n	bul:exe	0	дребно земеделие
00916464-n	bul:exe	1	едро земеделие
00916464-n	bul:exe	2	занимавам се със земеделие
00916464-n	bul:exe	3	частно земеделие
00916464-n	bul:lemma	земеделие
00916909-v	bul:def	0	Допускам съществуването на нещо.
00916909-v	bul:lemma	предполагам
00916909-v	bul:lemma	предположа
00917772-v	bul:def	0	Знам или казвам предварително, от по-рано какво ще стане, ще се случи.
00917772-v	bul:exe	0	Предвидих какво ще се случи.
00917772-v	bul:exe	1	Предричам бъдещето.
00917772-v	bul:exe	2	Предсказвам времето.
00917772-v	bul:lemma	предвидя
00917772-v	bul:lemma	предвиждам
00917772-v	bul:lemma	предрека
00917772-v	bul:lemma	предричам
00917772-v	bul:lemma	предскажа
00917772-v	bul:lemma	предсказвам
00917772-v	bul:lemma	пророкувам
00918580-v	bul:def	0	Правя облог, хващам се на бас.
00918580-v	bul:lemma	басирам се
00918580-v	bul:lemma	обзалагам се
00918580-v	bul:lemma	обзаложа се
00919155-a	bul:def	0	За животно - който е в напрегнато, раздразнено състояние.
00919155-a	bul:lemma	нервен
00919155-a	bul:lemma	неспокоен
00919155-a	bul:lemma	раздразнителен
00919542-a	bul:def	0	Който се намира в състояние на възбуда, на нервно напрежение, който е неспокоен.
00919542-a	bul:lemma	възбуден
00920510-n	bul:def	0	Колония бактерии или тъкан (човешка, животинска или растителна), отгледани при лабораторни условия.
00920510-n	bul:exe	0	генна култура
00920510-n	bul:exe	1	есенни култури
00920510-n	bul:exe	2	култура на клетки
00920510-n	bul:lemma	култура
00921014-a	bul:def	0	Който предизвиква вълнение, който притежава свойството да вълнува.
00921014-a	bul:lemma	вълнуващ
00921790-n	bul:def	0	Сезонът, през който се прибира реколтата.
00921790-n	bul:exe	0	Време е за жътва.
00921790-n	bul:exe	1	започва жътвата на
00921790-n	bul:exe	2	на жътва
00921790-n	bul:exe	3	отивам на жътва
00921790-n	bul:exe	4	по време на жътва
00921790-n	bul:exe	5	по жътва
00921790-n	bul:lemma	жътва
00923444-n	bul:def	0	Най-важният отрасъл на стопанството на една страна, в който чрез едра машинна техника в големи фабрики и заводи се произвеждат стоки за пазара.
00923444-n	bul:exe	0	военна промишленост
00923444-n	bul:exe	1	лека промишленост
00923444-n	bul:exe	2	нефтена промишленост
00923444-n	bul:exe	3	силно развита промишленост
00923444-n	bul:exe	4	тежка промишленост
00923444-n	bul:exe	5	текстилна промишленост
00923444-n	bul:lemma	индустрия
00923444-n	bul:lemma	промишленост
00923793-v	bul:def	0	Соча къде се намира някой, нещо, обикновено със съответен жест.
00923793-v	bul:exe	0	Той показа къщата, в която живееха неговите родители.
00923793-v	bul:exe	1	показвам пътя на
00923793-v	bul:exe	2	показвам с глава
00923793-v	bul:exe	3	показвам с ръка
00923793-v	bul:lemma	покажа
00923793-v	bul:lemma	показвам
00923793-v	bul:lemma	посоча
00923793-v	bul:lemma	посочвам
00923793-v	bul:lemma	соча
00924825-n	bul:def	0	Стопанска дейност за създаване, произвеждане на материални блага.
00924825-n	bul:exe	0	Производството е жизнено важно за всяка страна.
00924825-n	bul:exe	1	производство на
00924825-n	bul:exe	2	фабрично производство
00924825-n	bul:lemma	изработка
00924825-n	bul:lemma	производство
00925110-v	bul:def	0	Изразявам съмнение, колебание по някакъв въпрос, за нещо или някого.
00925110-v	bul:exe	0	Чудя се дали съм взел правилно решение.
00925110-v	bul:exe	1	Чудя се дали ще вали.
00925110-v	bul:exe	2	Чудя се какво да направя.
00925110-v	bul:exe	3	чудя се и се мая
00925110-v	bul:lemma	чудя се
00929164-a	bul:def	0	Който вече не съществува.
00929164-a	bul:exe	0	Динозаврите са изчезнали животински видове.
00929164-a	bul:lemma	изчезнал
00929567-a	bul:def	0	За който има достатъчно основания да се допусне, че ще стане, ще се случи, ще се осъществи.
00929567-a	bul:lemma	вероятен
00929567-a	bul:lemma	възможен
00929567-a	bul:lemma	допустим
00929567-a	bul:lemma	очакван
00930290-a	bul:def	0	Който става, извършва се, появява се изведнъж, без да е бил очакван или предварително предвиждан.
00930290-a	bul:lemma	ненадеен
00930290-a	bul:lemma	неочакван
00930290-a	bul:lemma	непредвиден
00930368-v	bul:def	0	Ставам причина да възникне нещо; причинявам.
00930368-v	bul:exe	0	Гладът поражда недоволства.
00930368-v	bul:exe	1	Думите му породиха съмнение у нас.
00930368-v	bul:lemma	пораждам
00930368-v	bul:lemma	породя
00931852-v	bul:def	0	Имам някакво значение, смисъл, съдържание.
00931852-v	bul:exe	0	Какво значи тази дума?
00931852-v	bul:exe	1	Това не значи, че
00931852-v	bul:lemma	знача
00931852-v	bul:lemma	означавам
00933154-a	bul:def	0	Който струва много пари, който има висока цена.
00933154-a	bul:lemma	скъп
00933420-n	bul:def	0	Художественото творчество като цяло, съставна част от културата на човечеството, което художествено-образно възпроизвежда действителността с помощта на звукове, цветове, форми, движения и др.
00933420-n	bul:exe	0	С изкуство се занимават писатели, художници, артисти, музиканти.
00933420-n	bul:exe	1	абстрактно изкуство
00933420-n	bul:exe	10	произведение на изкуството
00933420-n	bul:exe	11	реалистично изкуство
00933420-n	bul:exe	12	човек на изкуството
00933420-n	bul:exe	2	елементи от езическото българско изкуство
00933420-n	bul:exe	3	занимавам се с изкуство
00933420-n	bul:exe	4	изобразително изкуство
00933420-n	bul:exe	5	история на изкуството
00933420-n	bul:exe	6	кулинарно изкуство
00933420-n	bul:exe	7	модерно изкуство
00933420-n	bul:exe	8	отражение на действителността в изкуството
00933420-n	bul:exe	9	правя изкуство
00933420-n	bul:lemma	изкуство
00933821-v	bul:def	0	Правя да стане известно или достъпно нещо, което е било тайно, скрито.
00933821-v	bul:exe	0	Не пожелаха да разкрият цената, на която е продадена картината.
00933821-v	bul:exe	1	Смущението и червенината го издадоха.
00933821-v	bul:exe	2	Та не разкри годините си.
00933821-v	bul:exe	3	Чуждият ми акцент ме издаде.
00933821-v	bul:exe	4	издавам някого на полицията
00933821-v	bul:exe	5	издавам тайна
00933821-v	bul:lemma	издавам
00933821-v	bul:lemma	издам
00933821-v	bul:lemma	разкривам
00933821-v	bul:lemma	разкрия
00934199-a	bul:def	0	Който струва сравнително малко пари и обикновено качеството му е по-ниско.
00934199-a	bul:lemma	евтин
00935500-a	bul:def	0	Който притежава опит, практически познания или умения в някаква област, придобити от наблюдение на нещо или от участие в нещо.
00935500-a	bul:lemma	опитен
00939277-v	bul:def	0	Правя нещо да стане ясно и разбираемо за някого, като с думи излагам неговата същност или отделни негови страни.
00939277-v	bul:exe	0	Той обясни на учениците химичното уравнение.
00939277-v	bul:exe	1	обяснявам задача
00939277-v	bul:exe	2	обяснявам на
00939277-v	bul:exe	3	обяснявам урок
00939277-v	bul:exe	4	обяснявам устройство на машина
00939277-v	bul:lemma	обясня
00939277-v	bul:lemma	обяснявам
00939857-v	bul:def	0	Правя нещо да стане ясно, разбрано, да се разбере.
00939857-v	bul:lemma	изясня
00939857-v	bul:lemma	изяснявам
00939857-v	bul:lemma	обясня
00939857-v	bul:lemma	обяснявам
00939857-v	bul:lemma	поясня
00939857-v	bul:lemma	пояснявам
00940437-a	bul:def	0	Който точно и ясно изразява нещо, което трябва да бъде изпълнено по определен начин и което не търпи възражение или отменяне.
00940437-a	bul:lemma	безусловен
00940437-a	bul:lemma	изричен
00940437-a	bul:lemma	категоричен
00941242-a	bul:def	0	Който се отнася до графика.
00941242-a	bul:lemma	графичен
00941242-a	bul:lemma	графически
00941485-a	bul:def	0	Който се осъществява или действа не пряко, а по околен път, но за действието му се подразбира.
00941485-a	bul:lemma	косвен
00941485-a	bul:lemma	непряк
00946650-n	bul:def	0	Действието по търсене на нещо.
00946650-n	bul:exe	0	Цените се определят от търсенето и предлагането.
00946650-n	bul:exe	1	търсене на диаманти
00946650-n	bul:exe	2	търсене на работа
00946650-n	bul:lemma	търсене
00948071-v	bul:def	0	Определям броя, количеството, числото на отделните неща в една съвкупност.
00948071-v	bul:exe	0	броя до сто
00948071-v	bul:exe	1	броя жълтици
00948071-v	bul:exe	2	броя на пръсти
00948071-v	bul:exe	3	броя на ум
00948071-v	bul:exe	4	броя няколко пъти
00948071-v	bul:exe	5	броя пари
00948071-v	bul:exe	6	започвам да броя
00948071-v	bul:exe	7	знам да броя
00948071-v	bul:exe	8	не мога да броя
00948071-v	bul:exe	9	уча се да броя
00948071-v	bul:lemma	броя
00948103-a	bul:def	0	Който се намира или се случва, извършва извън пределите на нещо или на повърхността на нещо.
00948103-a	bul:lemma	външен
00948670-a	bul:def	0	Който се намира, разположен е вътре в ограниченото пространство на нещо.
00948670-a	bul:lemma	вътрешен
00949134-n	bul:def	0	Действието по използване на нещо с конкретна цел.
00949134-n	bul:lemma	приложение
00949288-v	bul:def	0	Прибавям едно число към други, намирам сбора, сумата на две или повече числа.
00949288-v	bul:exe	0	Добави още сто лева към общата сума.
00949288-v	bul:exe	1	Прибави тази цена към предишната.
00949288-v	bul:exe	2	Събери тези две числа.
00949288-v	bul:lemma	добавя
00949288-v	bul:lemma	добавям
00949288-v	bul:lemma	прибавя
00949288-v	bul:lemma	прибавям
00949288-v	bul:lemma	събера
00949288-v	bul:lemma	събирам
00949548-a	bul:def	0	Който се намира вън, отвън, зад пределите на нещо, на повърхността.
00949548-a	bul:lemma	външен
00950272-a	bul:def	0	Който се намира вътре в пределите на нещо или е свързан с пространството вътре в нещо.
00950272-a	bul:lemma	вътрешен
00952963-n	bul:def	0	Въоръжен сблъсък между вражески войски във война, въстание, военна мисия и др.
00952963-n	bul:exe	0	В сражението паднаха много жертви.
00952963-n	bul:exe	1	Сражението продължи през цялата нощ.
00952963-n	bul:exe	2	влизам в сражение
00952963-n	bul:exe	3	губя сражение
00952963-n	bul:exe	4	кръвопролитно сражение
00952963-n	bul:exe	5	печеля сражение
00952963-n	bul:exe	6	тежко сражение
00952963-n	bul:exe	7	участвам в сражение
00952963-n	bul:lemma	сражение
00953216-v	bul:def	0	Излагам, описвам с думи нещо видяно, чуто, преживяно или измислено.
00953216-v	bul:exe	0	Кажи какво беше написано в книгата.
00953216-v	bul:exe	1	Той ми каза една притча.
00953216-v	bul:exe	2	Ще ви кажа какви чудни неща видях.
00953216-v	bul:exe	3	Ще кажа точно думите, както бяха изречени.
00953216-v	bul:exe	4	разказвам истории
00953216-v	bul:exe	5	разказвам приказки
00953216-v	bul:lemma	кажа
00953216-v	bul:lemma	казвам
00953216-v	bul:lemma	разкажа
00953216-v	bul:lemma	разказвам
00953559-n	bul:def	0	Въоръжен сблъсък между вражески войски във война, въстание, военна мисия и др.
00953559-n	bul:exe	0	В една от битките загина най-добрият ми приятел.
00953559-n	bul:exe	1	Командирът беше ранен в последната битка.
00953559-n	bul:exe	10	започнаха боевете
00953559-n	bul:exe	11	морски бой
00953559-n	bul:exe	12	неравен бой
